               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.012373,           0.0048143,                   0,             0.96919,             0.98462,             0.99244,             0.74517,            0.014907,           0.0055992,                   0,           0.0022484,           0.0022484,           0.0022484
                  96,            0.012931,             0.00471,                   0,             0.97691,             0.97692,             0.99321,             0.74711,            0.014874,           0.0054879,                   0,           0.0022308,           0.0022308,           0.0022308
                  97,             0.01131,           0.0048561,                   0,             0.94745,             0.98462,             0.98971,             0.73022,            0.015773,           0.0059279,                   0,           0.0022131,           0.0022131,           0.0022131
                  98,            0.012028,            0.004627,                   0,             0.96155,             0.96923,             0.98943,             0.74246,            0.014494,           0.0059229,                   0,           0.0021953,           0.0021953,           0.0021953
                  99,            0.012257,           0.0047171,                   0,              0.9618,             0.96834,              0.9891,             0.73192,            0.014612,           0.0061649,                   0,           0.0021775,           0.0021775,           0.0021775
                 100,            0.012561,           0.0050604,                   0,             0.95504,             0.99231,             0.99199,               0.738,            0.014923,           0.0059474,                   0,           0.0021595,           0.0021595,           0.0021595
                 101,            0.013169,           0.0049392,                   0,             0.96268,             0.99224,             0.99282,             0.76598,            0.013859,           0.0056314,                   0,           0.0021416,           0.0021416,           0.0021416
                 102,            0.012425,           0.0050378,                   0,             0.96986,                   1,             0.99431,             0.76276,            0.014142,           0.0053099,                   0,           0.0021235,           0.0021235,           0.0021235
                 103,            0.012245,            0.004758,                   0,             0.98461,             0.98459,             0.99417,               0.757,            0.014792,            0.005229,                   0,           0.0021054,           0.0021054,           0.0021054
                 104,            0.011845,           0.0046444,                   0,             0.99227,             0.99231,             0.99469,             0.77704,            0.013343,           0.0050547,                   0,           0.0020873,           0.0020873,           0.0020873
                 105,            0.011459,           0.0047128,                   0,             0.99224,             0.98361,             0.99386,             0.76784,            0.014382,           0.0054111,                   0,           0.0020691,           0.0020691,           0.0020691
                 106,            0.011698,            0.004725,                   0,             0.96969,             0.98432,             0.99269,             0.74137,            0.014481,           0.0055587,                   0,           0.0020509,           0.0020509,           0.0020509
                 107,            0.011247,           0.0046048,                   0,             0.98425,             0.96118,             0.99296,             0.76855,            0.013862,           0.0055328,                   0,           0.0020326,           0.0020326,           0.0020326
                 108,             0.01223,           0.0047502,                   0,             0.95427,             0.97692,             0.99107,             0.76353,            0.013526,           0.0057743,                   0,           0.0020142,           0.0020142,           0.0020142
                 109,            0.011374,           0.0047061,                   0,             0.97601,             0.95385,             0.98897,             0.72609,            0.015454,           0.0061388,                   0,           0.0019959,           0.0019959,           0.0019959
                 110,            0.011463,            0.004696,                   0,             0.94748,             0.97692,             0.98956,             0.76103,            0.014846,           0.0061855,                   0,           0.0019775,           0.0019775,           0.0019775
                 111,              0.0119,           0.0048429,                   0,             0.97619,             0.96923,             0.99125,              0.7632,            0.014039,           0.0061455,                   0,            0.001959,            0.001959,            0.001959
                 112,            0.011493,           0.0045382,                   0,             0.99876,             0.95385,             0.99167,             0.75473,            0.014856,           0.0062308,                   0,           0.0019406,           0.0019406,           0.0019406
                 113,            0.010762,           0.0046135,                   0,             0.99179,             0.95385,              0.9912,              0.7613,            0.013978,            0.006132,                   0,           0.0019221,           0.0019221,           0.0019221
                 114,            0.011344,           0.0048493,                   0,               0.984,             0.94599,             0.98996,              0.7478,            0.015563,           0.0062232,                   0,           0.0019035,           0.0019035,           0.0019035
                 115,            0.010963,            0.004674,                   0,              0.9624,              0.9845,             0.99281,             0.76064,            0.015033,           0.0059299,                   0,            0.001885,            0.001885,            0.001885
                 116,             0.01132,            0.004741,                   0,             0.99965,             0.95385,             0.99323,             0.76659,            0.014207,           0.0057115,                   0,           0.0018665,           0.0018665,           0.0018665
                 117,            0.010941,           0.0044542,                   0,             0.96104,             0.95385,             0.99128,             0.75627,            0.014244,           0.0059417,                   0,           0.0018479,           0.0018479,           0.0018479
                 118,             0.01127,           0.0045372,                   0,             0.92805,              0.9922,             0.99025,             0.75805,            0.013608,           0.0060071,                   0,           0.0018293,           0.0018293,           0.0018293
